"가구유형별","가구주의 연령별",2031,2031,2032,2032,2033,2033,2034,2034,2035,2035,2036,2036,2037,2037,2038,2038,2039,2039,2040,2040
"가구유형별","가구주의 연령별",계,1인,계,1인,계,1인,계,1인,계,1인,계,1인,계,1인,계,1인,계,1인,계,1인
"계","합계",23311062,8349427,23429634,8447783,23536624,8542220,23629116,8631209,23709485,8718949,23775255,8794667,23824493,8871404,23856402,8939464,23870269,8998209,23866166,9054787
"계","19세이하",62194,59988,59619,57583,56579,54718,53439,51747,49599,48083,45740,44391,42573,41364,40015,38919,38208,37200,37482,36527
"계","20~24세",461342,400775,465111,404807,460135,401197,461922,403449,465341,407102,455161,398825,440990,386996,421996,370860,403433,355041,373880,329469
"계","25~29세",875722,656983,854139,643322,855386,646669,847397,642903,850357,647328,867816,662729,874668,669995,866756,665847,864143,665650,866054,668847
"계","30~34세",1507933,835150,1441364,805982,1364571,770027,1300892,740487,1218149,699125,1142029,660597,1114598,649558,1117384,655820,1107583,654477,1110539,660460
"계","35~39세",1786289,608461,1773070,611322,1745932,609004,1707131,602130,1674871,597079,1629504,586863,1553676,565044,1467738,538812,1397568,517666,1307814,488594
"1인 가구","합계",8349427,8349427,8447783,8447783,8542220,8542220,8631209,8631209,8718949,8718949,8794667,8794667,8871404,8871404,8939464,8939464,8998209,8998209,9054787,9054787
"1인 가구","19세이하",59988,59988,57583,57583,54718,54718,51747,51747,48083,48083,44391,44391,41364,41364,38919,38919,37200,37200,36527,36527
"1인 가구","20~24세",400775,400775,404807,404807,401197,401197,403449,403449,407102,407102,398825,398825,386996,386996,370860,370860,355041,355041,329469,329469
"1인 가구","25~29세",656983,656983,643322,643322,646669,646669,642903,642903,647328,647328,662729,662729,669995,669995,665847,665847,665650,665650,668847,668847
"1인 가구","30~34세",835150,835150,805982,805982,770027,770027,740487,740487,699125,699125,660597,660597,649558,649558,655820,655820,654477,654477,660460,660460
"1인 가구","35~39세",608461,608461,611322,611322,609004,609004,602130,602130,597079,597079,586863,586863,565044,565044,538812,538812,517666,517666,488594,488594
